inSize, fSize, paretoSize, maxBeat, avgBeat, maxChord, avgChord, maxStep, avgStep
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
498,2,2,0.44999998807907104,0.375,0.6595744490623474,0.6489361524581909,0.21276596188545227,0.21276596188545227
498,2,2,0.44999998807907104,0.375,0.6595744490623474,0.6489361524581909,0.21276596188545227,0.21276596188545227
497,3,2,0.44999998807907104,0.350000003973643,0.800000011920929,0.6992907722791036,0.2888889014720917,0.23814027508099875
495,5,2,0.44999998807907104,0.310000005364418,0.800000011920929,0.6714893579483032,0.2888889014720917,0.23394799530506133
494,6,2,0.44999998807907104,0.30000000447034836,0.800000011920929,0.6929078002770742,0.2888889014720917,0.2431048129995664
491,9,2,0.44999998807907104,0.3055555572112401,0.800000011920929,0.7026716073354086,0.31111112236976624,0.2573693179421955
487,13,4,0.44999998807907104,0.3269230780693201,0.800000011920929,0.7008675841184763,0.31111112236976624,0.25935715666184056
474,26,6,0.5,0.3576923075776834,0.8913043737411499,0.7430411737698775,0.43589743971824646,0.26280005218890995
467,33,6,0.5,0.35909091026494,0.8913043737411499,0.7255720080751361,0.43589743971824646,0.26818783129706525
459,41,3,0.5,0.3646341471410379,0.8913043737411499,0.7324936200932759,0.43589743971824646,0.27237651587986367
456,44,3,0.5,0.3704545453868129,0.8913043737411499,0.7327442981980063,0.43589743971824646,0.27276090295477345
445,55,3,0.5,0.36636363620107826,0.9069767594337463,0.7354653390971098,0.43589743971824646,0.26579342728311367
433,67,4,0.5,0.3664179108480909,1.0,0.739231296439669,0.43589743971824646,0.2633112217508145
428,72,4,0.5,0.3694444449825419,1.0,0.7404085190759765,0.43589743971824646,0.2613059745894538
418,82,4,0.5,0.36585365944519277,1.0,0.7404429723576802,0.43589743971824646,0.2606504334182274
413,87,4,0.5,0.36321839193503064,1.0,0.73908675950149,0.43589743971824646,0.257695312815151
405,95,4,0.5,0.35894736976999986,1.0,0.7386381814354345,0.43589743971824646,0.25669727545035514
400,100,4,0.5,0.3580000014603138,1.0,0.7408956038951874,0.43589743971824646,0.25578460320830343
393,107,4,0.5,0.3570093474934034,1.0,0.7383939657255868,0.43589743971824646,0.25310862746751195
381,119,5,0.5,0.35462185026717785,1.0,0.7374772825160948,0.43589743971824646,0.25180481249043923
372,128,5,0.5,0.35312500165309757,1.0,0.7377452896907926,0.43589743971824646,0.25126054626889527
357,143,5,0.5,0.35034965207943547,1.0,0.7359478732089063,0.43589743971824646,0.24822805978201487
341,159,6,0.5,0.3440251592195259,1.0,0.7316595368415305,0.43589743971824646,0.24668770822339087
326,174,6,0.5,0.34396551943373405,1.0,0.7325962823012779,0.43589743971824646,0.24579485069061147
309,191,7,0.5,0.3418848188447703,1.0,0.7326291471875775,0.43589743971824646,0.2440978227797603
297,203,7,0.5,0.34458128256457193,1.0,0.7357231428470518,0.43589743971824646,0.2434544508239906
280,220,7,0.5,0.34454545615748927,1.0,0.7358573908155615,0.43589743971824646,0.24267904575575483
268,232,7,0.5,0.34633620834813034,1.0,0.7375798569671039,0.43589743971824646,0.2418781797690638
254,246,7,0.5,0.34430894455531746,1.0,0.7363530850507379,0.43589743971824646,0.24179237129969325
246,254,7,0.5,0.34350393847452376,1.0,0.7368411259857688,0.43589743971824646,0.24150927265094022
237,263,7,0.5,0.3452471498640771,1.0,0.7373921386189334,0.43589743971824646,0.24098772598083482
223,277,5,0.5,0.3445848392235243,1.023809552192688,0.7359273743543384,0.43589743971824646,0.24026915479437969
215,285,5,0.5,0.3435087736761361,1.023809552192688,0.7366096540501244,0.43589743971824646,0.23971785359215317
209,291,5,0.5,0.3434707921292774,1.023809552192688,0.7369895886719432,0.43589743971824646,0.2393027945482444
202,298,5,0.5,0.3444630889184523,1.023809552192688,0.7369463257741609,0.43589743971824646,0.2393253436624604
194,306,5,0.5,0.3444444461196077,1.023809552192688,0.7357715124787848,0.43589743971824646,0.23829995081120847
189,311,5,0.5,0.34517685053241215,1.023809552192688,0.7360984182817759,0.43589743971824646,0.23878763879610412
179,321,5,0.5,0.3457943942409438,1.023809552192688,0.735294949599887,0.43589743971824646,0.23851622608591835
173,327,5,0.5,0.34571865615677033,1.023809552192688,0.7336233471511701,0.43589743971824646,0.23856766722435616
161,339,5,0.5,0.3452802377376585,1.023809552192688,0.7316322716991458,0.43589743971824646,0.23863407780463014
153,347,5,0.5,0.34466858972561804,1.023809552192688,0.7310149216170957,0.43589743971824646,0.23811989627585287
146,354,5,0.5,0.34562147071974425,1.023809552192688,0.7305551566983347,0.43589743971824646,0.2382374160033835
141,359,5,0.5,0.345403901589282,1.023809552192688,0.7307229188159315,0.43589743971824646,0.23797880341415617
137,363,5,0.5,0.34559228831578875,1.023809552192688,0.7304338983596192,0.43589743971824646,0.23800358430741575
136,364,5,0.5,0.346016485284973,1.023809552192688,0.7308751401992944,0.43589743971824646,0.2386878296159781
132,368,5,0.5,0.3456521757432948,1.023809552192688,0.7313983837223571,0.43589743971824646,0.23869252630064022
120,380,5,0.5,0.3459210543256057,1.023809552192688,0.7311334407643268,0.43589743971824646,0.23737782557543954
118,382,5,0.5,0.34620419012002296,1.023809552192688,0.7317341185365048,0.43589743971824646,0.23744576689616548
115,385,5,0.5,0.3459740276460524,1.023809552192688,0.7322062312782585,0.43589743971824646,0.2370444150327088
110,390,5,0.5,0.3452564119528502,1.023809552192688,0.7322416336108477,0.43589743971824646,0.23658134650725585
109,391,5,0.5,0.3452685438763455,1.023809552192688,0.7329264377693996,0.43589743971824646,0.23641160587825433
106,394,5,0.5,0.3449238595472375,1.023809552192688,0.7333111468002881,0.43589743971824646,0.2360959590464679
104,396,6,0.5,0.3445707088468051,1.023809552192688,0.7330472666506815,0.5121951103210449,0.23695241866840255
102,398,6,0.5,0.3456030167901336,1.023809552192688,0.7339655776419233,0.5121951103210449,0.2377698855409071
96,404,6,0.5,0.3460396056496861,1.023809552192688,0.7345721115275184,0.5121951103210449,0.2375441763439391
91,409,6,0.5,0.3466992680265734,1.023809552192688,0.7355504341988225,0.5121951103210449,0.23688624303760622
89,411,6,0.5,0.3468369845563768,1.023809552192688,0.7359701815602843,0.5121951103210449,0.23680769530671067
88,412,6,0.5,0.3472087394482302,1.023809552192688,0.7357030882708078,0.5121951103210449,0.237023165467584
87,413,6,0.5,0.3473365633380904,1.023809552192688,0.7364958146582504,0.5121951103210449,0.23707503715381206
85,415,6,0.5,0.3474698811051357,1.023809552192688,0.7364839917205902,0.5121951103210449,0.23695788498384407
81,419,6,0.5,0.34701670805850293,1.023809552192688,0.7364511174063125,0.5121951103210449,0.23661814014780777
80,420,6,0.5,0.3470238111913204,1.023809552192688,0.7368143091599146,0.5121951103210449,0.23646994353759856
76,424,6,0.5,0.34740566205725354,1.023809552192688,0.7366819117429122,0.5121951103210449,0.23642660217043363
73,427,6,0.5,0.3474238892838324,1.023809552192688,0.7366731172423173,0.5121951103210449,0.2362213722436713
72,428,6,0.5,0.3471962633742907,1.023809552192688,0.7361438983929491,0.5121951103210449,0.2363822787094896
69,431,6,0.5,0.3470997697308556,1.023809552192688,0.7360552231977822,0.5121951103210449,0.23597106773172896
69,431,6,0.5,0.34802784392147773,1.023809552192688,0.7364999529518826,0.5121951103210449,0.23611248175671926
68,432,6,0.5,0.34768518688226185,1.023809552192688,0.736681916302553,0.5121951103210449,0.2361753949964488
67,433,6,0.5,0.3479214797256725,1.023809552192688,0.7361904167275506,0.5121951103210449,0.23624912836948112
64,436,6,0.5,0.3477064237135266,1.023809552192688,0.737139959195885,0.5121951103210449,0.2359899478631282
63,437,6,0.5,0.3482837545039725,1.023809552192688,0.7380809547290104,0.5121951103210449,0.2361036740601472
61,439,6,0.5,0.34829157343079126,1.023809552192688,0.7379171584217314,0.5121951103210449,0.23590041978755683
60,440,6,0.5,0.34840909252789887,1.023809552192688,0.7385825237767263,0.5121951103210449,0.23632015491073782
57,443,6,0.5,0.34785553210879555,1.023809552192688,0.7380793735754947,0.5128205418586731,0.2373816715069872
55,445,7,0.550000011920929,0.34876404655783366,1.023809552192688,0.7383351314603612,0.5128205418586731,0.2380560746018806
54,446,7,0.550000011920929,0.34955157095674977,1.023809552192688,0.7383034294095274,0.5128205418586731,0.2387612756057705
54,446,9,0.550000011920929,0.35112107765647865,1.023809552192688,0.7388633744198111,0.5128205418586731,0.23941354814398982
52,448,9,0.550000011920929,0.351450894260779,1.023809552192688,0.7388214989831405,0.5128205418586731,0.23941454580718918
51,449,9,0.550000011920929,0.35200445573021943,1.023809552192688,0.7392084911166957,0.5128205418586731,0.23907808604378478
48,452,8,0.550000011920929,0.35265486868741236,1.023809552192688,0.7396158732276047,0.5128205418586731,0.23894824885425314
46,454,8,0.550000011920929,0.35308370187812965,1.023809552192688,0.7394833284458925,0.5128205418586731,0.23874936682799838
45,455,8,0.550000011920929,0.35296703442767424,1.023809552192688,0.7391674193052146,0.5128205418586731,0.23878578393013922
42,458,8,0.550000011920929,0.3532751106604218,1.023809552192688,0.7391106224086087,0.5128205418586731,0.23847598208350385
41,459,8,0.550000011920929,0.3532679753300931,1.023809552192688,0.7391691122829005,0.5128205418586731,0.23837361473403465
40,460,8,0.550000011920929,0.35347826231433,1.023809552192688,0.7389327333673187,0.5128205418586731,0.23828074203237243
39,461,8,0.550000011920929,0.3534707172638423,1.023809552192688,0.7390746315880607,0.5128205418586731,0.238235428703064
38,462,8,0.550000011920929,0.3537878802134877,1.023809552192688,0.7397189623478687,0.5128205418586731,0.23851994847580468
35,465,8,0.550000011920929,0.3537634423022629,1.023809552192688,0.739384925429539,0.5128205418586731,0.2382622814947559
35,465,8,0.550000011920929,0.3537634422702174,1.023809552192688,0.7390742655082415,0.5128205418586731,0.23857294144809887
34,466,8,0.550000011920929,0.35375536620105286,1.023809552192688,0.7393415661712572,0.5128205418586731,0.23845115013004883
34,466,8,0.550000011920929,0.35375536620105286,1.023809552192688,0.7393415661712572,0.5128205418586731,0.23845115013004883
32,468,8,0.550000011920929,0.3539529927711711,1.023809552192688,0.7399066710191914,0.5128205418586731,0.23863203180396658
