inSize, fSize, paretoSize, maxBeat, avgBeat, maxChord, avgChord, maxStep, avgStep
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
499,1,1,0.5,0.5,0.625,0.625,0.3125,0.3125
499,1,1,0.5,0.5,0.625,0.625,0.3125,0.3125
499,1,1,0.5,0.5,0.625,0.625,0.3125,0.3125
499,1,1,0.5,0.5,0.625,0.625,0.3125,0.3125
498,2,2,0.5,0.45000000298023224,0.625,0.5680555701255798,0.3777777850627899,0.34513889253139496
497,3,3,0.5,0.4000000059604645,0.625,0.5560086766878763,0.3777777850627899,0.35065996646881104
496,4,3,0.5,0.3750000074505806,0.625,0.5583108514547348,0.3777777850627899,0.3173427991569042
492,8,4,0.5,0.3812500052154064,0.695652186870575,0.5815633460879326,0.3777777850627899,0.30012671649456024
489,11,5,0.5,0.3727272776040164,0.695652186870575,0.5850531350482594,0.3777777850627899,0.2994679036465558
486,14,5,0.5,0.3642857202461788,0.695652186870575,0.5839522587401527,0.3777777850627899,0.2852678522467613
482,18,6,0.5,0.3527777824136946,0.7872340679168701,0.5897696597708596,0.3777777850627899,0.29290443907181424
478,22,6,0.5,0.35000000487674365,0.7872340679168701,0.5834423317150637,0.3777777850627899,0.2752178291028196
473,27,6,0.5,0.35370370856037847,0.7872340679168701,0.5827024170645961,0.3777777850627899,0.28517401935877623
469,31,7,0.5,0.34838710052351796,0.8333333134651184,0.6041381320645732,0.3777777850627899,0.28790419476647533
462,38,6,0.5,0.3447368454776312,0.8723404407501221,0.6093225588924006,0.3777777850627899,0.288177347889072
457,43,6,0.5,0.34651163047136263,0.8723404407501221,0.6117546100949132,0.3777777850627899,0.28746035972306894
457,43,6,0.5,0.34651163047136263,0.8723404407501221,0.6117546100949132,0.3777777850627899,0.28746035972306894
450,50,7,0.5,0.3460000029206276,0.8723404407501221,0.6083075451850891,0.40909090638160706,0.28510517477989195
448,52,7,0.5,0.3461538487328933,0.8723404407501221,0.6129559736985427,0.40909090638160706,0.28455625761013764
443,57,8,0.5,0.3491228089520806,0.8723404407501221,0.6172092985688594,0.40909090638160706,0.28737803195652206
438,62,9,0.5,0.3467741957114589,0.8723404407501221,0.6175230082965666,0.40909090638160706,0.2845209613442421
434,66,10,0.5,0.3477272750301795,0.8723404407501221,0.6217707544565201,0.40909090638160706,0.2833287386280118
427,73,11,0.5,0.34931506992202915,0.8723404407501221,0.6272173944401415,0.40909090638160706,0.2835574895143509
423,77,11,0.5,0.35064935181048007,0.8723404407501221,0.6277876314404723,0.40909090638160706,0.2840148206655081
408,92,13,0.5,0.34891304470922635,0.9375,0.6354228319681209,0.40909090638160706,0.2841238730951496
395,105,13,0.5,0.3509523820309412,0.9375,0.639446211712701,0.40909090638160706,0.2860674263465972
385,115,11,0.5,0.3513043491736702,0.9375,0.6392285437687584,0.41304346919059753,0.2884538923916609
369,131,12,0.5,0.35076335993886903,0.9375,0.6400016145851776,0.41304346919059753,0.2916515318264488
354,146,11,0.5,0.35171233015517667,0.9375,0.6405971203356573,0.42222222685813904,0.29382891799897365
341,159,9,0.5,0.35314465590617944,0.9375,0.6431449687330978,0.4545454680919647,0.2967012822628021
330,170,9,0.5,0.3514705901636797,0.9375,0.6419323375996422,0.4545454680919647,0.2990368688807768
319,181,9,0.5,0.35248618939304877,0.9375,0.6440065636489931,0.4545454680919647,0.300960191623282
308,192,9,0.5,0.35260416807917255,0.9375,0.6466367410806318,0.4545454680919647,0.30165364771770936
295,205,8,0.5,0.3539024403182472,0.9375,0.649860169102506,0.4545454680919647,0.30312966057440127
287,213,8,0.5,0.35399061154591643,0.9375,0.6491358066108864,0.4545454680919647,0.30356567223586944
274,226,8,0.5,0.3539823022036426,0.9375,0.6492684672100354,0.4545454680919647,0.30388397149807583
262,238,8,0.5,0.35315126193170787,0.9375,0.6470938721875182,0.4545454680919647,0.3052317135724701
249,251,8,0.5,0.3537848622675436,0.9375,0.6489910201959876,0.4545454680919647,0.3060145317558273
233,267,8,0.550000011920929,0.35561797915772997,0.9375,0.6490583327155881,0.4545454680919647,0.3058679597208116
226,274,8,0.550000011920929,0.35602189937647244,0.9375,0.6493717785516795,0.4545454680919647,0.3068703616405056
219,281,8,0.550000011920929,0.35533807991450367,0.9375,0.6495028970716686,0.4545454680919647,0.3061840199066651
207,293,8,0.550000011920929,0.3544368615736327,0.9375,0.6474770135643539,0.4545454680919647,0.3072395673587461
199,301,8,0.550000011920929,0.3534883736474965,0.9375,0.6472035968224472,0.4545454680919647,0.30691108246182286
188,312,9,0.550000011920929,0.35416666814723075,0.9375,0.6479167883785871,0.4545454680919647,0.3068168813792559
182,318,9,0.550000011920929,0.352830190188105,0.9375,0.6474331245294906,0.4545454680919647,0.30678168904481445
181,319,9,0.550000011920929,0.35329153750757436,0.9375,0.6481994837989628,0.4545454680919647,0.30719949945013353
175,325,9,0.550000011920929,0.3536923091228192,0.9375,0.6478080104864561,0.4545454680919647,0.30712686923833993
170,330,9,0.550000011920929,0.353939395330169,0.9375,0.6487008829008449,0.4545454680919647,0.3071035092527216
165,335,9,0.550000011920929,0.35283582237229416,0.9375,0.6481718468132304,0.4545454680919647,0.3075417703657008
159,341,9,0.550000011920929,0.35337243541594476,0.9375,0.6502043201951337,0.4545454680919647,0.30806333779239936
148,352,9,0.550000011920929,0.35255681968886743,0.9375,0.650411507114768,0.4545454680919647,0.3075484232130376
144,356,9,0.550000011920929,0.35238764192281147,0.9375,0.6499808867660801,0.4545454680919647,0.30827351793479385
140,360,9,0.550000011920929,0.3523611125846704,0.9375,0.6493893437915378,0.4545454680919647,0.308398049738672
132,368,9,0.550000011920929,0.3514945666184244,0.9375,0.6486363048138826,0.4545454680919647,0.307844010181725
127,373,9,0.550000011920929,0.3514745321334527,0.9375,0.6498121687937678,0.4545454680919647,0.307804748096351
116,384,9,0.550000011920929,0.34986979300932336,0.9375,0.6479751630686224,0.4545454680919647,0.30709935767420876
111,389,9,0.550000011920929,0.3497429319626261,0.9375,0.6481884634433491,0.4545454680919647,0.307218355852105
107,393,9,0.550000011920929,0.35012722785084605,0.9375,0.6486946029669153,0.4545454680919647,0.3070600689898314
104,396,9,0.550000011920929,0.35000000137722853,0.9375,0.6483572700408974,0.4545454680919647,0.3068908429281278
100,400,9,0.550000011920929,0.3497500013187528,0.9375,0.6481303462386131,0.4545454680919647,0.30661448765546084
95,405,9,0.550000011920929,0.3490123470256358,0.9375,0.6471979516523856,0.4545454680919647,0.30639382898807527
92,408,9,0.550000011920929,0.34852941308681873,0.9375,0.6470282128920742,0.4545454680919647,0.3063833194547424
90,410,9,0.550000011920929,0.348780489149617,0.9375,0.6469295951651364,0.4545454680919647,0.30645071431630994
86,414,9,0.550000011920929,0.3486714989018901,0.9375,0.6468429848335792,0.4545454680919647,0.3062736114514047
84,416,9,0.550000011920929,0.34867788600520444,0.9375,0.6469826172464169,0.4545454680919647,0.3062265434015829
82,418,9,0.550000011920929,0.34856459469886486,0.9375,0.6472135954781583,0.4545454680919647,0.30612400537757783
80,420,9,0.550000011920929,0.3483333347808747,0.9375,0.6470698224646705,0.4545454680919647,0.30603405315251575
80,420,9,0.550000011920929,0.3483333347808747,0.9375,0.6470698224646705,0.4545454680919647,0.30603405315251575
78,422,9,0.550000011920929,0.34857820048575155,0.9375,0.6479201599319965,0.4545454680919647,0.3063823703623496
76,424,9,0.550000011920929,0.3483490580517166,0.9375,0.6486611054893935,0.4545454680919647,0.3065314272524051
74,426,9,0.550000011920929,0.3487089216149469,0.9375,0.6491618474744295,0.4545454680919647,0.30649077423581494
72,428,9,0.550000011920929,0.3488317771214191,0.9375,0.6493409977198761,0.4545454680919647,0.3063728266926569
71,429,9,0.550000011920929,0.3490676004569847,0.9375,0.6493152561304453,0.4545454680919647,0.306353012026051
69,431,9,0.550000011920929,0.34941995496539674,0.9375,0.6498308078733785,0.4545454680919647,0.3062365247312665
69,431,9,0.550000011920929,0.34965197351305227,0.9375,0.6500893068562528,0.4545454680919647,0.30626384571644105
65,435,9,0.550000011920929,0.3501149438578507,0.9375,0.6513836121422121,0.4545454680919647,0.306064751093415
64,436,9,0.550000011920929,0.3500000013534082,0.9375,0.6517053623128375,0.4545454680919647,0.3058405964541326
63,437,9,0.550000011920929,0.35000000133667164,0.9375,0.6517872722388951,0.4545454680919647,0.3058081618094608
62,438,9,0.550000011920929,0.3501141565983698,0.9375,0.6520115022109524,0.4545454680919647,0.30572831062557493
61,439,9,0.550000011920929,0.35000000133737075,0.9375,0.6527335071482256,0.4545454680919647,0.30586591064251095
60,440,9,0.550000011920929,0.350227274034511,0.9375,0.6530391902408816,0.4545454680919647,0.30584774342450227
60,440,9,0.550000011920929,0.350227274034511,0.9375,0.6530391902408816,0.4545454680919647,0.30584774342450227
59,441,9,0.550000011920929,0.3504535160164714,0.9375,0.6539150128424033,0.4545454680919647,0.30616781939995263
58,442,9,0.550000011920929,0.3506787342790565,0.9375,0.6543474469114753,0.4545454680919647,0.3060663811087069
58,442,10,0.550000011920929,0.35056561214756643,0.9375,0.6546268034979229,0.4878048896789551,0.30646299847245756
52,448,10,0.550000011920929,0.3515625012306763,0.9375,0.6555445000662335,0.4878048896789551,0.30618112797050606
49,451,10,0.550000011920929,0.3516629723844401,0.9375,0.6556253632129957,0.4878048896789551,0.3062506800149867
47,453,8,0.550000011920929,0.3526490078067148,0.9375,0.6578335338344111,0.4878048896789551,0.30616922551564557
47,453,8,0.550000011920929,0.35331125942287067,0.9375,0.6591192883897827,0.4878048896789551,0.30620053769079003
46,454,8,0.550000011920929,0.3531938337347581,0.9375,0.6588087083878497,0.4878048896789551,0.3063361171780704
46,454,8,0.550000011920929,0.3531938337347581,0.9375,0.6588087083878497,0.4878048896789551,0.3063361171780704
45,455,6,0.550000011920929,0.35461538568302825,0.9375,0.6598292414303665,0.5365853905677795,0.30645540088087647
45,455,6,0.550000011920929,0.3547252757536186,0.9375,0.6597180431360726,0.5365853905677795,0.30708334439403406
