inSize, fSize, paretoSize, maxBeat, avgBeat, maxChord, avgChord, maxStep, avgStep
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
499,1,1,0.25,0.25,0.6875,0.6875,0.25,0.25
499,1,1,0.25,0.25,0.6875,0.6875,0.25,0.25
499,1,1,0.25,0.25,0.6875,0.6875,0.25,0.25
498,2,2,0.30000001192092896,0.2750000059604645,0.6875,0.633223682641983,0.25,0.20394736528396606
497,3,2,0.30000001192092896,0.2833333412806193,0.7878788113594055,0.6847753922144572,0.25,0.20667198300361633
497,3,2,0.30000001192092896,0.2833333412806193,0.7878788113594055,0.6847753922144572,0.25,0.20667198300361633
497,3,2,0.30000001192092896,0.2833333412806193,0.7878788113594055,0.6847753922144572,0.25,0.20667198300361633
496,4,3,0.3499999940395355,0.30000000447034836,0.7878788113594055,0.6972760856151581,0.27272728085517883,0.2351827137172222
496,4,3,0.3499999940395355,0.30000000447034836,0.7878788113594055,0.6972760856151581,0.27272728085517883,0.2351827137172222
493,7,4,0.4000000059604645,0.31428571684019907,0.7878788113594055,0.7002063393592834,0.27272728085517883,0.20206256742988313
490,10,4,0.44999998807907104,0.34000000059604646,0.8055555820465088,0.6941848456859588,0.39393940567970276,0.23465718254446982
485,15,5,0.44999998807907104,0.33666666646798454,0.8235294222831726,0.6981255809466044,0.40625,0.21865504135688146
476,24,6,0.5,0.33124999950329465,0.8285714387893677,0.6723382050792376,0.4375,0.24052115622907877
471,29,6,0.5,0.33448275820962314,0.8285714387893677,0.6721457345732327,0.5151515007019043,0.24750785914988355
464,36,8,0.5,0.32500000049670535,0.8285714387893677,0.6684977552957005,0.5151515007019043,0.2615827402720849
460,40,8,0.5,0.3262500002980232,0.8285714387893677,0.6691645838320255,0.5151515007019043,0.2561536991968751
456,44,9,0.5,0.31931818242777477,0.9411764740943909,0.6780288117853078,0.5151515007019043,0.2544179621406577
448,52,11,0.5,0.3221153849019454,0.9459459185600281,0.6889850422739983,0.5151515007019043,0.24871098106870285
444,56,11,0.5,0.3196428575153862,0.9459459185600281,0.684224254318646,0.5151515007019043,0.24328988364764623
440,60,11,0.5,0.3200000007947286,0.9459459185600281,0.6855740651488305,0.5151515007019043,0.24673758298158646
438,62,12,0.5,0.32016129118780934,0.9459459185600281,0.6837823525551827,0.5151515007019043,0.2478664916369223
436,64,10,0.5,0.3218750006053597,0.9459459185600281,0.6833819230087101,0.5151515007019043,0.24922078428789973
431,69,10,0.5,0.3181159429360127,0.9459459185600281,0.6758142014344534,0.5151515007019043,0.2462209892877634
430,70,10,0.5,0.3178571439215115,0.9459459185600281,0.6748063296079636,0.5151515007019043,0.24571106540305274
428,72,9,0.5,0.3201388900892602,0.9459459185600281,0.676873381353087,0.5151515007019043,0.24481593341463143
422,78,9,0.5,0.3198717964383272,0.9459459185600281,0.6813657486285919,0.5151515007019043,0.24481920754680267
418,82,9,0.5,0.32073170909794363,0.9459459185600281,0.6793477037330953,0.5151515007019043,0.243252849160898
411,89,9,0.5,0.3224719118201331,0.9459459185600281,0.6814573377035977,0.5151515007019043,0.24103648818275902
403,97,9,0.5,0.3231958777634139,0.9459459185600281,0.6798439861572895,0.5151515007019043,0.2359098702208283
393,107,9,0.5,0.31915888023153643,0.9459459185600281,0.6722233064263781,0.5151515007019043,0.23510485351364188
382,118,10,0.5,0.31906779817605424,0.9459459185600281,0.6764162170179819,0.5151515007019043,0.2340783380224543
373,127,10,0.5,0.3220472456667367,0.9459459185600281,0.6764620533139687,0.5151515007019043,0.23022207036966413
366,134,10,0.5,0.3242537325887538,0.9459459185600281,0.6762899729742933,0.5151515007019043,0.22924840539249022
356,144,10,0.5,0.3263888904410932,0.9459459185600281,0.6786778089072969,0.5151515007019043,0.22755330744095975
340,160,10,0.5,0.31906250175088646,0.9459459185600281,0.673113201931119,0.5151515007019043,0.22710144794546067
318,182,10,0.5,0.3156593423950803,0.9459459185600281,0.6662553550450356,0.5151515007019043,0.22698559403255747
301,199,10,0.5,0.3140703534061585,0.9459459185600281,0.663493990448851,0.5151515007019043,0.22727640845518016
285,215,10,0.5,0.31139535047980244,0.9459459185600281,0.6598872086336446,0.5151515007019043,0.22577700556017632
271,229,10,0.5,0.3133187791470877,0.9459459185600281,0.6612412812407881,0.5151515007019043,0.2267605874150601
255,245,10,0.550000011920929,0.31653061414859734,0.9473684430122375,0.6610420111490756,0.5151515007019043,0.22554098273418388
236,264,10,0.550000011920929,0.31306818390095775,0.9473684430122375,0.6545862557761597,0.5151515007019043,0.2261482873141314
229,271,10,0.550000011920929,0.312730629313256,0.9473684430122375,0.653819629407017,0.5151515007019043,0.22526594366864525
211,289,10,0.550000011920929,0.31228373906088536,0.9473684430122375,0.6505421226824856,0.5151515007019043,0.22415347554588813
201,299,10,0.550000011920929,0.3117056876969178,0.9473684430122375,0.6484427506907727,0.5151515007019043,0.22424202497089188
189,311,11,0.6000000238418579,0.31254019509174435,0.9473684430122375,0.6499036348326029,0.5151515007019043,0.2243920722527136
177,323,12,0.6000000238418579,0.31191950678917646,0.9473684430122375,0.6496286948583444,0.5151515007019043,0.22545244055728056
169,331,12,0.6000000238418579,0.31042296281844106,0.9473684430122375,0.6501407971735087,0.5151515007019043,0.22562885142615194
159,341,12,0.6000000238418579,0.3098240490139754,0.9473684430122375,0.6494850630809135,0.5151515007019043,0.22568174233097485
150,350,11,0.6000000238418579,0.3112857163165297,0.9473684430122375,0.6499942937067577,0.5151515007019043,0.22572366925222534
143,357,11,0.6000000238418579,0.3119047638289735,0.9473684430122375,0.6508728381799382,0.5151515007019043,0.22499911647801304
137,363,11,0.6000000238418579,0.3112947678721969,0.9473684430122375,0.6498250594316435,0.5151515007019043,0.22498326050759018
130,370,11,0.6000000238418579,0.3113513533932132,0.9473684430122375,0.6507932997233159,0.5151515007019043,0.22586675219841906
126,374,11,0.6000000238418579,0.3114973282551064,0.9473684430122375,0.6533101241696965,0.5151515007019043,0.2273396191829666
121,379,11,0.6000000238418579,0.3126649097158601,0.9473684430122375,0.6543122397091898,0.5151515007019043,0.2263177795075175
118,382,11,0.6000000238418579,0.31308900726793326,0.9473684430122375,0.6554882392209238,0.5151515007019043,0.2260359765386394
113,387,11,0.6000000238418579,0.3140826893522758,0.9473684430122375,0.6579524053775679,0.5151515007019043,0.2259101345557575
104,396,11,0.6000000238418579,0.3137626283134174,0.9473684430122375,0.6576081881619463,0.5151515007019043,0.22587002238089388
96,404,12,0.6000000238418579,0.31336633870285924,0.9473684430122375,0.6583261311349302,0.5151515007019043,0.22564355036852382
93,407,12,0.6000000238418579,0.31277641476445467,0.9473684430122375,0.6594251359124148,0.5151515007019043,0.2262593432345613
88,412,14,0.6000000238418579,0.31395631263629326,0.9722222089767456,0.660766137456431,0.5151515007019043,0.22666073377126628
85,415,14,0.6000000238418579,0.3145783152027303,0.9722222089767456,0.6618056667856423,0.5151515007019043,0.2270336822932025
78,422,14,0.6000000238418579,0.3137440778385689,0.9722222089767456,0.6609902684157494,0.5151515007019043,0.22667913513160995
76,424,14,0.6000000238418579,0.31426886994532255,0.9722222089767456,0.6614024040271651,0.5151515007019043,0.22743119935522665
74,426,14,0.6000000238418579,0.31467136343670005,0.9722222089767456,0.6626270103482573,0.5151515007019043,0.228303655352391
71,429,14,0.6000000238418579,0.3162004680726634,0.9722222089767456,0.6640819437576063,0.5151515007019043,0.22817946072572318
67,433,14,0.6000000238418579,0.31709007111831844,0.9722222089767456,0.6650177595521781,0.5151515007019043,0.22861107917154083
63,437,14,0.6000000238418579,0.31739130614483113,0.9722222089767456,0.6660731895837413,0.5151515007019043,0.22932990742698142
59,441,15,0.6000000238418579,0.31825397003129496,1.0263158082962036,0.6673887952520193,0.5151515007019043,0.22932579185889693
56,444,15,0.6000000238418579,0.31790540723113325,1.0263158082962036,0.6680245706224227,0.5151515007019043,0.22998004703706987
55,445,15,0.6000000238418579,0.31955056361268075,1.0263158082962036,0.6701806470249476,0.5151515007019043,0.23108835799640484
50,450,15,0.6000000238418579,0.32033333516783186,1.0263158082962036,0.6704553259743584,0.5151515007019043,0.2312163636419508
48,452,15,0.6000000238418579,0.3217920372674687,1.0263158082962036,0.673149138095632,0.5151515007019043,0.2315660038287133
45,455,15,0.6000000238418579,0.3218681337577956,1.0263158082962036,0.6741724464264545,0.5151515007019043,0.23114988684326737
44,456,15,0.6000000238418579,0.32203947558280144,1.0263158082962036,0.6740097876049971,0.5151515007019043,0.23122777454881815
44,456,15,0.6000000238418579,0.32335526507609247,1.0263158082962036,0.6749623383215645,0.5151515007019043,0.23143116358602256
43,457,15,0.6000000238418579,0.32461706976074095,1.0263158082962036,0.6773123998088962,0.5151515007019043,0.23090857551871297
42,458,15,0.6000000238418579,0.3252183425537103,1.0263158082962036,0.678540332673939,0.5151515007019043,0.2310003980294716
41,459,15,0.6000000238418579,0.32516340059197807,1.0263158082962036,0.6791599000071649,0.5151515007019043,0.23131462205241968
38,462,15,0.6000000238418579,0.32521645210328554,1.0263158082962036,0.6798742561242281,0.5151515007019043,0.23078894843367528
36,464,15,0.6000000238418579,0.32510776051866086,1.0263158082962036,0.6796440308720901,0.5151515007019043,0.23089696138551266
36,464,15,0.6000000238418579,0.3259698294649093,1.0263158082962036,0.6805342499423643,0.5151515007019043,0.23049869361847383
36,464,15,0.6000000238418579,0.3261853466934428,1.0263158082962036,0.6806329477835318,0.5151515007019043,0.23074624721956408
35,465,15,0.6000000238418579,0.32655914161474475,1.0263158082962036,0.6814277231693268,0.5151515007019043,0.23113610423220102
34,466,15,0.6000000238418579,0.32746781295269345,1.0263158082962036,0.6827149040069703,0.5151515007019043,0.2308687532776287
32,468,15,0.6000000238418579,0.3284188051922963,1.0263158082962036,0.6834847340599085,0.5151515007019043,0.2310305871308232
30,470,15,0.6000000238418579,0.32893617205480313,1.0263158082962036,0.6837898081287425,0.5151515007019043,0.23152563891353758
29,471,15,0.6000000238418579,0.32908705068305294,1.0263158082962036,0.6835672127086898,0.5151515007019043,0.23136931002108407
