inSize, fSize, paretoSize, maxBeat, avgBeat, maxChord, avgChord, maxStep, avgStep
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0
499,1,1,0.25,0.25,0.5333333611488342,0.5333333611488342,0.20000000298023224,0.20000000298023224
498,2,2,0.25,0.22500000149011612,0.6000000238418579,0.5666666924953461,0.2750000059604645,0.23750000447034836
498,2,2,0.25,0.22500000149011612,0.6000000238418579,0.5666666924953461,0.2750000059604645,0.23750000447034836
498,2,2,0.25,0.22500000149011612,0.6000000238418579,0.5666666924953461,0.2750000059604645,0.23750000447034836
497,3,3,0.30000001192092896,0.2500000049670537,0.7333333492279053,0.6222222447395325,0.2750000059604645,0.21018519004185995
494,6,4,0.3499999940395355,0.2666666681567828,0.7777777910232544,0.648016999165217,0.2750000059604645,0.20395329842964807
491,9,4,0.3499999940395355,0.2500000016556846,0.7777777910232544,0.6294508377710978,0.2750000059604645,0.20256506072150338
487,13,6,0.4000000059604645,0.24230769448555434,0.7777777910232544,0.5999329273517315,0.2857142984867096,0.20686420225180113
478,22,9,0.4000000059604645,0.21136363917453724,0.7777777910232544,0.5963220000267029,0.3333333432674408,0.22614142976023935
472,28,6,0.4000000059604645,0.2250000024214387,0.8048780560493469,0.6091656301702771,0.3333333432674408,0.22639931099755423
469,31,6,0.4000000059604645,0.22419355076647574,0.8048780560493469,0.6142964286188926,0.3333333432674408,0.2282432101426586
463,37,7,0.4000000059604645,0.22837838117738027,0.8048780560493469,0.6138575946962511,0.3499999940395355,0.2263112480978708
455,45,5,0.4000000059604645,0.24333333629700873,0.9772727489471436,0.6247544758849674,0.3499999940395355,0.2253933040632142
453,47,5,0.4000000059604645,0.2393617052188579,0.9772727489471436,0.6189622162504399,0.3499999940395355,0.22692395667446422
448,52,5,0.4000000059604645,0.2403846183218635,0.9772727489471436,0.621669532587895,0.3499999940395355,0.22235175924232373
437,63,5,0.4000000059604645,0.24682539967553957,0.9772727489471436,0.6290091853293162,0.3499999940395355,0.22387641254398558
432,68,5,0.4000000059604645,0.24485294394852483,0.9772727489471436,0.6292510207961587,0.3499999940395355,0.22348583281478462
420,80,6,0.44999998807907104,0.2506250026170164,0.9772727489471436,0.6331824608147144,0.3499999940395355,0.2221089438535273
414,86,5,0.44999998807907104,0.24941860719822173,0.9772727489471436,0.6342944603326709,0.3499999940395355,0.22325193076286204
410,90,5,0.44999998807907104,0.2488888913558589,0.9772727489471436,0.6339189479748408,0.3499999940395355,0.22237417457832231
404,96,4,0.5,0.25364583598760265,0.97826087474823,0.6381190080816547,0.3499999940395355,0.2232503458702316
393,107,4,0.5,0.25654205895751436,0.97826087474823,0.6401036381721497,0.3499999940395355,0.21959862579530645
383,117,5,0.5,0.25769231086358046,1.0444444417953491,0.6400058712714758,0.3499999940395355,0.21913095792898765
373,127,5,0.5,0.26259842814188306,1.0444444417953491,0.6474800187302386,0.3499999940395355,0.2174115664963647
361,139,5,0.5,0.2669064777253343,1.0444444417953491,0.650384122090374,0.3499999940395355,0.2170374078287495
353,147,6,0.5,0.269047621916346,1.0444444417953491,0.6544229599083362,0.3499999940395355,0.2173541849162303
344,156,6,0.5,0.2708333359601406,1.0444444417953491,0.656285679875276,0.3499999940395355,0.21679680144939667
331,169,7,0.550000011920929,0.2751479315951731,1.0444444417953491,0.66454212552697,0.3499999940395355,0.2153217936232245
314,186,7,0.550000011920929,0.2728494646888907,1.0444444417953491,0.6623242684910374,0.3499999940395355,0.21464392719089345
297,203,7,0.550000011920929,0.273891627715139,1.0444444417953491,0.6618906974498862,0.3499999940395355,0.21169702004035706
286,214,8,0.550000011920929,0.2754672918921319,1.0444444417953491,0.6656778364259506,0.3499999940395355,0.21219522248361714
270,230,8,0.550000011920929,0.2752173934941706,1.0444444417953491,0.6637583438469016,0.3499999940395355,0.2124002271372339
257,243,8,0.550000011920929,0.2769547345829599,1.0444444417953491,0.6662458947901864,0.3499999940395355,0.21178852916990287
247,253,8,0.550000011920929,0.2790513853781779,1.0444444417953491,0.6711029913350056,0.3499999940395355,0.21218183353955566
233,267,8,0.550000011920929,0.2788389534148831,1.0444444417953491,0.6719678174913599,0.3499999940395355,0.2114716169985939
225,275,8,0.550000011920929,0.2796363656900146,1.0444444417953491,0.6742773705179042,0.3499999940395355,0.2118486409295689
216,284,8,0.550000011920929,0.27940141065964397,1.0444444417953491,0.675965538327123,0.3499999940395355,0.21140913536745898
205,295,8,0.550000011920929,0.2788135615950924,1.0444444417953491,0.6750700143434234,0.3499999940395355,0.21057427209817758
196,304,8,0.550000011920929,0.27927631803935293,1.0444444417953491,0.6764410757704785,0.3499999940395355,0.21085163605350413
181,319,8,0.550000011920929,0.2775862091644244,1.0444444417953491,0.6748992918427088,0.3499999940395355,0.21082281078384213
174,326,9,0.550000011920929,0.27684049307157294,1.0444444417953491,0.6777117388562922,0.3499999940395355,0.21114012642415023
166,334,9,0.550000011920929,0.27649700827896595,1.0444444417953491,0.677655824644123,0.3499999940395355,0.211672478517194
158,342,9,0.550000011920929,0.27675438836783345,1.0444444417953491,0.6793170101635637,0.3499999940395355,0.21088385767145465
150,350,10,0.550000011920929,0.27557143091091085,1.0444444417953491,0.6791934909139361,0.3499999940395355,0.21041148123996598
147,353,10,0.550000011920929,0.2750708238662302,1.0444444417953491,0.679069239762282,0.3499999940395355,0.2101724598841694
140,360,10,0.550000011920929,0.27541666901152995,1.0444444417953491,0.6788629687494702,0.3499999940395355,0.2096687039360404
130,370,10,0.550000011920929,0.27567567810214855,1.0444444417953491,0.6797531163370287,0.3499999940395355,0.21051208922589149
124,376,10,0.550000011920929,0.27539893862930065,1.0444444417953491,0.680758443443065,0.3499999940395355,0.21004369551751842
120,380,10,0.550000011920929,0.2755263182579687,1.0444444417953491,0.6831216413723795,0.3499999940395355,0.21036785152789794
110,390,10,0.550000011920929,0.2757692332642201,1.0444444417953491,0.6848779113628926,0.3499999940395355,0.2100449164899496
104,396,10,0.550000011920929,0.2771464671488061,1.0444444417953491,0.6879917684227529,0.3499999940395355,0.2106681415491333
98,402,4,0.550000011920929,0.27674129601586517,1.073170781135559,0.6887748165806727,0.3658536672592163,0.21048886734825462
94,406,4,0.550000011920929,0.2767241404121145,1.073170781135559,0.6897202194324268,0.3658536672592163,0.21021597069032086
91,409,4,0.550000011920929,0.27677261867631037,1.073170781135559,0.6919307945555755,0.3658536672592163,0.21021044028417404
90,410,4,0.550000011920929,0.27743902687982813,1.073170781135559,0.6932183544083339,0.3658536672592163,0.21043661656539614
87,413,4,0.550000011920929,0.2774818426868529,1.073170781135559,0.69247463143478,0.3658536672592163,0.21038430885887607
86,414,4,0.550000011920929,0.27838164501360074,1.073170781135559,0.6941453630941502,0.3658536672592163,0.21047694603170175
81,419,4,0.550000011920929,0.27780429844640037,1.073170781135559,0.6932833035407602,0.3658536672592163,0.2097261929462235
80,420,4,0.550000011920929,0.2779761929774568,1.073170781135559,0.6941799970609801,0.3658536672592163,0.20965995444428354
76,424,4,0.550000011920929,0.27771226669890137,1.073170781135559,0.6952819058777027,0.3658536672592163,0.209132252032605
71,429,4,0.550000011920929,0.27797203045555485,1.073170781135559,0.6956722446671733,0.3658536672592163,0.20902148734925788
69,431,4,0.550000011920929,0.2793503504272403,1.073170781135559,0.6990324119127543,0.3658536672592163,0.20939143363325888
66,434,4,0.550000011920929,0.2790322604885299,1.073170781135559,0.6987663873467028,0.3658536672592163,0.20916622738066357
62,438,4,0.550000011920929,0.2788812809679062,1.073170781135559,0.698795989291853,0.3658536672592163,0.20912470809741107
61,439,4,0.550000011920929,0.27938496825499526,1.073170781135559,0.700232200986432,0.3658536672592163,0.2090919681555318
57,443,4,0.550000011920929,0.2788939076238238,1.073170781135559,0.7003115449882792,0.3658536672592163,0.20894479056984253
53,447,4,0.550000011920929,0.2788590628328739,1.073170781135559,0.7002703416800873,0.3658536672592163,0.20893705919618308
48,452,4,0.550000011920929,0.27787610863755763,1.073170781135559,0.6991611566163797,0.3658536672592163,0.20840533906841172
45,455,4,0.550000011920929,0.2772527496893327,1.073170781135559,0.6985922860575247,0.3658536672592163,0.20838389494916895
43,457,4,0.550000011920929,0.2768052540703206,1.073170781135559,0.6990204100014084,0.3658536672592163,0.20869167853366885
40,460,4,0.550000011920929,0.27619565459697143,1.073170781135559,0.6982265465933344,0.3658536672592163,0.20858821208062378
38,462,4,0.550000011920929,0.27629870369836884,1.073170781135559,0.6984890305892729,0.3658536672592163,0.208668669677658
38,462,4,0.550000011920929,0.27694805434126873,1.073170781135559,0.6990015433206187,0.3658536672592163,0.2089368322323927
37,463,4,0.550000011920929,0.27656587713737985,1.073170781135559,0.699196128943054,0.3658536672592163,0.20908306069173258
37,463,4,0.550000011920929,0.2774298080196906,1.073170781135559,0.7005854294701734,0.3658536672592163,0.20935928255126493
35,465,5,0.550000011920929,0.2778494647754136,1.073170781135559,0.7006080105740536,0.375,0.20990405028225273
35,465,5,0.550000011920929,0.2781720454013476,1.073170781135559,0.7011696487344722,0.375,0.21008300806886407
34,466,5,0.550000011920929,0.2780042942373538,1.073170781135559,0.701489027221827,0.375,0.21011501876837194
33,467,5,0.550000011920929,0.27869379253982224,1.073170781135559,0.7019994349500096,0.4000000059604645,0.21089886508610825
33,467,5,0.550000011920929,0.27869379253982224,1.073170781135559,0.7019994349500096,0.4000000059604645,0.21089886508610825
32,468,5,0.550000011920929,0.27970085711751735,1.073170781135559,0.7035450460946459,0.4000000059604645,0.21133797575966415
31,469,5,0.550000011920929,0.28091684670876593,1.073170781135559,0.7046870192103802,0.4000000059604645,0.21139723473965233
30,470,5,0.550000011920929,0.2808510662155583,1.073170781135559,0.704533440825787,0.4000000059604645,0.21168971145723728
29,471,5,0.550000011920929,0.2814225077138711,1.073170781135559,0.7046854656719604,0.4000000059604645,0.21222744734993407
27,473,5,0.550000011920929,0.2810782265099234,1.073170781135559,0.7042002033985695,0.4000000059604645,0.2122242127015525
