0.70;-0.49;0.45;0.27;0.58;2;3;1;1;1;0;1;2;0;4;5;3;4;3;4;4;4;4;4;4
-0.60;0.42;0.32;0.33;0.51;2;2;2;2;1;1;2;3;3;4;3;4;5;5;2;1;0;0;0;0
-0.07;-0.02;0.60;0.47;0.76;0;1;2;3;3;3;4;3;4;5;5;5;5;5;4;4;4;3;2;2
-0.34;1.15;0.62;0.54;0.78;4;5;5;5;5;5;4;5;5;5;4;5;5;3;2;0;0;3;5;2
-0.34;-0.21;0.49;0.48;0.61;4;4;5;1;0;1;3;1;1;0;1;3;4;1;0;0;1;1;5;5
-0.57;0.26;0.35;0.30;0.41;4;5;5;5;5;4;5;4;4;4;4;5;4;5;4;2;0;1;1;0
1.29;0.22;0.73;0.64;0.87;2;2;3;3;5;4;0;5;5;5;5;4;4;4;4;2;2;2;1;0
-0.51;1.40;0.70;0.66;0.82;4;5;5;4;5;4;4;3;2;0;2;1;1;2;1;0;2;0;0;0
0.60;-0.85;0.39;0.08;0.48;0;1;2;3;3;3;4;4;3;3;3;3;3;3;5;5;5;4;2;4
1.02;-0.32;0.71;0.56;0.76;4;5;4;4;4;4;4;0;4;4;4;5;5;5;4;5;4;5;4;5
0.20;-0.71;0.53;0.23;0.76;1;1;1;2;1;3;4;4;5;5;5;5;5;4;5;4;3;2;0;0
-0.18;-0.72;0.50;0.40;0.64;0;1;1;1;1;0;0;2;3;4;4;4;4;5;5;4;4;4;3;1
-0.56;-0.17;0.41;0.30;0.53;2;2;4;3;2;1;2;2;1;2;2;2;3;5;2;2;2;2;1;0
-0.51;1.50;0.46;0.32;0.59;0;0;1;1;4;3;4;3;5;5;5;3;4;3;1;1;2;2;1;0
-0.19;-0.39;0.78;0.64;0.85;0;1;2;3;3;4;4;4;5;5;4;5;5;5;5;4;4;5;5;5
-0.17;0.39;0.80;0.65;0.85;0;2;3;2;3;2;5;5;2;5;5;5;5;3;2;3;2;4;4;3
-0.47;-0.44;0.28;0.12;0.44;0;1;2;5;3;1;5;2;2;2;1;0;5;2;2;2;3;4;2;0
0.06;0.60;0.75;0.66;0.85;0;1;2;2;4;4;3;3;4;4;2;5;4;4;3;4;5;3;2;1
0.17;0.69;0.78;0.74;0.91;4;1;2;5;5;2;3;3;2;5;3;4;4;5;2;5;2;2;2;0
-0.18;0.27;0.62;0.60;0.76;0;3;0;0;1;1;2;3;2;2;3;4;4;5;5;4;4;5;5;5
-0.76;0.47;0.45;0.24;0.48;0;2;2;2;2;3;2;3;3;4;5;5;5;5;5;4;4;3;3;2
0.07;-0.44;0.65;0.40;0.87;0;0;1;1;2;2;2;3;3;3;4;4;5;5;5;5;5;4;3;2
1.54;-0.50;0.54;0.35;0.67;0;1;3;2;2;2;2;5;5;5;4;5;4;3;3;5;4;1;0;0
0.20;-0.83;0.49;0.42;0.61;0;0;0;1;1;3;3;3;3;5;4;5;5;5;3;5;5;4;4;3
-0.24;-0.15;0.54;0.32;0.63;5;5;5;5;5;5;5;5;5;5;5;4;2;2;2;2;1;0;0;0
-0.38;-0.26;0.63;0.46;0.76;0;1;2;5;4;5;5;4;4;5;5;4;5;3;3;3;2;3;3;2
